Rank,Name,Platform,Year,GlobalSales
1,Wii Sports,Wii,2006,82.74
2,Super Mario Bros.,NES,1985,40.24
3,Mario Kart Wii,Wii,2008,35.82
4,Wii Sports Resort,Wii,2009,33
5,Pokemon Red/Pokemon Blue,GB,1996,31.37
6,Tetris,GB,1989,30.26
7,New Super Mario Bros.,DS,2006,30.01
8,Wii Play,Wii,2006,29.02
9,New Super Mario Bros. Wii,Wii,2009,28.62
10,Duck Hunt,NES,1984,28.31
11,Nintendogs,DS,2005,24.76
12,Mario Kart DS,DS,2005,23.42
13,Pokemon Gold/Pokemon Silver,GB,1999,23.1
14,Wii Fit,Wii,2007,22.72
15,Wii Fit Plus,Wii,2009,22
16,Kinect Adventures!,X360,2010,21.82
17,Grand Theft Auto V,PS3,2013,21.4
18,Grand Theft Auto: San Andreas,PS2,2004,20.81
19,Super Mario World,SNES,1990,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,20.22
21,Pokemon Diamond/Pokemon Pearl,DS,2006,18.36
22,Super Mario Land,GB,1989,18.14
23,Super Mario Bros. 3,NES,1988,17.28
24,Grand Theft Auto V,X360,2013,16.38
25,Grand Theft Auto: Vice City,PS2,2002,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,15.85
27,Pokemon Black/Pokemon White,DS,2010,15.32
28,Brain Age 2: More Training in Minutes a Day,DS,2005,15.3
29,Gran Turismo 3: A-Spec,PS2,2001,14.98
30,Call of Duty: Modern Warfare 3,X360,2011,14.76
31,Pokemon Yellow: Special Pikachu Edition,GB,1998,14.64
32,Call of Duty: Black Ops,X360,2010,14.64
33,Pokemon X/Pokemon Y,3DS,2013,14.35
34,Call of Duty: Black Ops 3,PS4,2015,14.24
35,Call of Duty: Black Ops II,PS3,2012,14.03
36,Call of Duty: Black Ops II,X360,2012,13.73
37,Call of Duty: Modern Warfare 2,X360,2009,13.51
38,Call of Duty: Modern Warfare 3,PS3,2011,13.46
39,Grand Theft Auto III,PS2,2001,13.1
40,Super Smash Bros. Brawl,Wii,2008,13.04
41,Call of Duty: Black Ops,PS3,2010,12.73
42,Animal Crossing: Wild World,DS,2005,12.27
43,Mario Kart 7,3DS,2011,12.21
44,Halo 3,X360,2007,12.14
45,Grand Theft Auto V,PS4,2014,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,11.9
47,Super Mario 64,N64,1996,11.89
48,Gran Turismo 4,PS2,2004,11.66
49,Super Mario Galaxy,Wii,2007,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,11.33
51,Super Mario Land 2: 6 Golden Coins,GB,1992,11.18
52,Grand Theft Auto IV,X360,2008,11.02
53,Gran Turismo,PS,1997,10.95
54,Super Mario 3D Land,3DS,2011,10.79
55,Gran Turismo 5,PS3,2010,10.77
56,Call of Duty: Modern Warfare 2,PS3,2009,10.69
57,Grand Theft Auto IV,PS3,2008,10.57
58,Super Mario All-Stars,SNES,1993,10.55
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,10.49
60,Super Mario 64,DS,2004,10.42
61,Just Dance 3,Wii,2011,10.26
62,Call of Duty: Ghosts,X360,2013,10.21
63,Halo: Reach,X360,2010,9.88
64,Mario Kart 64,N64,1996,9.87
65,New Super Mario Bros. 2,3DS,2012,9.82
66,Halo 4,X360,2012,9.76
67,Final Fantasy VII,PS,1997,9.72
68,Call of Duty: Ghosts,PS3,2013,9.59
69,Just Dance 2,Wii,2010,9.52
70,Gran Turismo 2,PS,1999,9.49
71,Call of Duty 4: Modern Warfare,X360,2007,9.32
72,Donkey Kong Country,SNES,1994,9.3
73,Minecraft,X360,2013,9.2
74,Animal Crossing: New Leaf,3DS,2012,9.09
75,Mario Party DS,DS,2007,9.02
76,The Elder Scrolls V: Skyrim,X360,2011,8.84
77,Super Mario Kart,SNES,1992,8.76
78,FIFA 16,PS4,2015,8.49
79,Wii Party,Wii,2010,8.49
80,Halo 2,XB,2004,8.49
81,Mario Party 8,Wii,2007,8.42
82,Pokemon Black 2/Pokemon White 2,DS,2012,8.33
83,FIFA Soccer 13,PS3,2012,8.24
84,The Sims 3,PC,2009,8.11
85,GoldenEye 007,N64,1997,8.09
86,Mario & Sonic at the Olympic Games,Wii,2007,8.06
87,Final Fantasy X,PS2,2001,8.05
88,Final Fantasy VIII,PS,1999,7.86
89,Pokemon Platinum Version,DS,2008,7.84
90,Pac-Man,Atari 2600,1982,7.81
91,Grand Theft Auto: Liberty City Stories,PSP,2005,7.72
92,Super Mario Galaxy 2,Wii,2010,7.69
93,Star Wars Battlefront (2015),PS4,2015,7.67
94,Call of Duty: Advanced Warfare,PS4,2014,7.6
95,The Legend of Zelda: Ocarina of Time,N64,1998,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,7.58
97,Super Mario Bros. 2,NES,1988,7.46
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,7.45
99,Call of Duty: World at War,X360,2008,7.37
100,Battlefield 3,X360,2011,7.34
